trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
282,False,"{'a': 0.6743999999999936, 'e': 0.65606198839355623}",20,6,-20.538189883286204,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
283,False,"{'a': 0.6735999999999935, 'e': 0.65507863311180636}",20,16,5.936668148610368,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.6727999999999935, 'e': 0.65409675175725723}",25,0,-119.6991877198418,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
285,False,"{'a': 0.6719999999999935, 'e': 0.6531163421206756}",25,0,-66.99050505830441,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
286,False,"{'a': 0.6711999999999935, 'e': 0.65213740199613923}",30,0,-209.47228466307217,"{0: 16, 1: 5, 2: 3, 3: 3, 4: 3}",0
287,False,"{'a': 0.6703999999999934, 'e': 0.65115992918103249}",30,0,-40.725122137099696,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
288,False,"{'a': 0.6695999999999934, 'e': 0.6501839214760412}",30,13,-8.7761214973642,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
289,False,"{'a': 0.6687999999999934, 'e': 0.64920937668514744}",20,0,-54.464213737208055,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
290,False,"{'a': 0.6679999999999934, 'e': 0.6482362926156251}",20,0,-62.5600804619605,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
291,False,"{'a': 0.6671999999999934, 'e': 0.64726466707803465}",20,0,-49.192938302388995,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
292,False,"{'a': 0.6663999999999933, 'e': 0.64629449788621818}",20,0,-138.66270766476975,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
293,False,"{'a': 0.6655999999999933, 'e': 0.64532578285729458}",25,14,-15.049302268853426,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
294,False,"{'a': 0.6647999999999933, 'e': 0.64435851981165471}",20,12,-10.324161478606179,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
295,False,"{'a': 0.6639999999999933, 'e': 0.64339270657295622}",30,12,-69.07803221122903,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
296,False,"{'a': 0.6631999999999932, 'e': 0.64242834096811896}",20,1,-73.45436647827975,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
297,False,"{'a': 0.6623999999999932, 'e': 0.64146542082731983}",20,2,-5.466615771890018,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
298,False,"{'a': 0.6615999999999932, 'e': 0.64050394398398824}",20,11,-36.136699501617294,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
299,False,"{'a': 0.6607999999999932, 'e': 0.6395439082748009}",30,0,-66.53888967211405,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
300,False,"{'a': 0.6599999999999931, 'e': 0.6385853115396769}",30,0,-85.90838036871101,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
301,False,"{'a': 0.6591999999999931, 'e': 0.63762815162177333}",25,10,-50.33685833192101,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
302,False,"{'a': 0.6583999999999931, 'e': 0.63667242636747989}",30,0,-249.56110128069466,"{0: 16, 1: 0, 2: 9, 3: 1, 4: 4}",1
303,False,"{'a': 0.6575999999999931, 'e': 0.63571813362641427}",30,0,-20.95968861197154,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
304,False,"{'a': 0.6567999999999931, 'e': 0.63476527125141757}",20,0,-143.84838827201915,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
305,False,"{'a': 0.655999999999993, 'e': 0.63381383709854899}",25,0,-82.30287338806079,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
306,False,"{'a': 0.655199999999993, 'e': 0.63286382902708138}",20,6,-29.166961479941218,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
307,False,"{'a': 0.654399999999993, 'e': 0.63191524489949591}",25,0,-88.52994107062271,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
308,False,"{'a': 0.653599999999993, 'e': 0.63096808258147807}",35,0,-39.52506983930267,"{0: 28, 1: 2, 2: 4, 3: 1, 4: 0}",0
309,False,"{'a': 0.6527999999999929, 'e': 0.63002233994191226}",25,10,18.327686373615865,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
310,False,"{'a': 0.6519999999999929, 'e': 0.62907801485287718}",25,15,-21.404705694232174,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
311,False,"{'a': 0.6511999999999929, 'e': 0.62813510518964077}",20,0,-107.1142095026805,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
312,False,"{'a': 0.6503999999999929, 'e': 0.62719360883065611}",25,11,-18.255505489924662,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
313,False,"{'a': 0.6495999999999928, 'e': 0.62625352365755593}",30,0,-115.88813004276648,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
314,False,"{'a': 0.6487999999999928, 'e': 0.62531484755514821}",20,11,10.904298811306903,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.6479999999999928, 'e': 0.62437757841141117}",25,0,-47.637407968574266,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
316,False,"{'a': 0.6471999999999928, 'e': 0.62344171411748905}",20,13,7.946575497906228,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.6463999999999928, 'e': 0.6225072525676868}",25,1,-104.16078234488523,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
318,False,"{'a': 0.6455999999999927, 'e': 0.62157419165946526}",20,0,-21.07405600050334,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
319,False,"{'a': 0.6447999999999927, 'e': 0.62064252929343733}",20,6,-28.063185308114665,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
320,False,"{'a': 0.6439999999999927, 'e': 0.61971226337336205}",20,0,-4.593641595756627,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
321,False,"{'a': 0.6431999999999927, 'e': 0.61878339180614084}",20,0,-27.03739190729246,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
322,False,"{'a': 0.6423999999999926, 'e': 0.61785591250181227}",25,0,-41.860962320181535,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
323,False,"{'a': 0.6415999999999926, 'e': 0.6169298233735474}",20,0,-56.78150252412979,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
324,False,"{'a': 0.6407999999999926, 'e': 0.61600512233764548}",20,0,-72.86981036288653,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
325,False,"{'a': 0.6399999999999926, 'e': 0.61508180731352868}",30,15,-73.66925208951389,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
326,False,"{'a': 0.6391999999999926, 'e': 0.6141598762237378}",25,0,-99.01762689787718,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
327,False,"{'a': 0.6383999999999925, 'e': 0.61323932699392758}",30,0,-6.081120833408304,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
328,False,"{'a': 0.6375999999999925, 'e': 0.61232015755286173}",25,0,-66.17775109742658,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
329,False,"{'a': 0.6367999999999925, 'e': 0.6114023658324087}",25,0,-60.54041802329864,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
330,False,"{'a': 0.6359999999999925, 'e': 0.61048594976753667}",20,0,-72.50565833941411,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
331,False,"{'a': 0.6351999999999924, 'e': 0.60957090729630936}",20,8,-15.452035478544275,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
332,False,"{'a': 0.6343999999999924, 'e': 0.60865723635988045}",20,3,-30.480967762680873,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
333,False,"{'a': 0.6335999999999924, 'e': 0.60774493490249015}",20,0,-33.39598725333386,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
334,False,"{'a': 0.6327999999999924, 'e': 0.60683400087145989}",25,0,-19.8131814178389,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
335,False,"{'a': 0.6319999999999923, 'e': 0.6059244322171875}",20,0,19.383725302889385,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
336,False,"{'a': 0.6311999999999923, 'e': 0.60501622689314316}",20,0,-114.04133471936986,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
337,False,"{'a': 0.6303999999999923, 'e': 0.60410938285586468}",20,0,-29.482390874710223,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
338,False,"{'a': 0.6295999999999923, 'e': 0.60320389806495245}",20,0,-14.481314611996368,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
339,False,"{'a': 0.6287999999999923, 'e': 0.60229977048306538}",25,0,-151.32803397824796,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 4}",0
340,False,"{'a': 0.6279999999999922, 'e': 0.60139699807591596}",25,0,16.187344578671347,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
341,False,"{'a': 0.6271999999999922, 'e': 0.6004955788122659}",25,0,-111.44450751837134,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
342,False,"{'a': 0.6263999999999922, 'e': 0.59959551066392158}",20,0,-84.52152470811652,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
343,False,"{'a': 0.6255999999999922, 'e': 0.59869679160572919}",25,0,-69.55146936530244,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
344,False,"{'a': 0.6247999999999921, 'e': 0.59779941961557048}",25,3,-150.71376586493372,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 3}",1
345,False,"{'a': 0.6239999999999921, 'e': 0.59690339267435799}",30,0,-112.49636760922644,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
346,False,"{'a': 0.6231999999999921, 'e': 0.59600870876603096}",30,15,18.691665842245996,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.6223999999999921, 'e': 0.5951153658775501}",20,0,-64.28844093235999,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
348,False,"{'a': 0.621599999999992, 'e': 0.59422336199889347}",20,0,-103.78758086568054,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
349,False,"{'a': 0.620799999999992, 'e': 0.59333269512305198}",30,0,-104.630821377759,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
350,False,"{'a': 0.619999999999992, 'e': 0.59244336324602498}",20,10,7.604894939263005,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.619199999999992, 'e': 0.59155536436681511}",30,0,-61.35160337840435,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
352,False,"{'a': 0.618399999999992, 'e': 0.5906686964874247}",25,0,-45.11066744623278,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
353,False,"{'a': 0.6175999999999919, 'e': 0.5897833576128505}",25,17,7.255935271199979,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.6167999999999919, 'e': 0.58889934575107972}",30,11,-21.32297182180842,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
355,False,"{'a': 0.6159999999999919, 'e': 0.58801665891308541}",20,0,16.52970593949761,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
356,False,"{'a': 0.6151999999999919, 'e': 0.5871352951128217}",25,0,-94.95002619417002,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
357,False,"{'a': 0.6143999999999918, 'e': 0.58625525236721965}",30,0,-45.678150900663745,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
358,False,"{'a': 0.6135999999999918, 'e': 0.58537652869618284}",20,0,-28.809586925486737,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
359,False,"{'a': 0.6127999999999918, 'e': 0.58449912212258237}",30,16,-14.102019742110357,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
360,False,"{'a': 0.6119999999999918, 'e': 0.58362303067225341}",20,0,-75.36605033423932,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
361,False,"{'a': 0.6111999999999917, 'e': 0.58274825237398964}",25,0,-146.3561406501565,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
362,False,"{'a': 0.6103999999999917, 'e': 0.58187478525953962}",30,7,-12.65694207798838,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
363,False,"{'a': 0.6095999999999917, 'e': 0.58100262736360186}",35,0,-64.69334209182871,"{0: 26, 1: 3, 2: 4, 3: 2, 4: 0}",0
364,False,"{'a': 0.6087999999999917, 'e': 0.58013177672382077}",20,8,-27.685994643027882,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
365,False,"{'a': 0.6079999999999917, 'e': 0.57926223138078203}",20,5,25.061691783153183,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.6071999999999916, 'e': 0.57839398937800834}",20,0,-73.02807561429871,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
367,False,"{'a': 0.6063999999999916, 'e': 0.57752704876195471}",25,0,-46.86648942424311,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
368,False,"{'a': 0.6055999999999916, 'e': 0.57666140758200446}",25,0,-64.44681955423954,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
369,False,"{'a': 0.6047999999999916, 'e': 0.57579706389046459}",20,0,-100.08075086465239,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
370,False,"{'a': 0.6039999999999915, 'e': 0.57493401574256131}",20,0,-19.13757380810498,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
371,False,"{'a': 0.6031999999999915, 'e': 0.57407226119643606}",20,0,-45.63343078021317,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
372,False,"{'a': 0.6023999999999915, 'e': 0.57321179831314062}",25,3,-49.96346486928459,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
373,False,"{'a': 0.6015999999999915, 'e': 0.57235262515663321}",20,0,-37.661387730734276,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
374,False,"{'a': 0.6007999999999915, 'e': 0.57149473979377396}",20,7,-10.801117744032139,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
375,False,"{'a': 0.5999999999999914, 'e': 0.57063814029432025}",25,9,-102.05033347739966,"{0: 9, 1: 1, 2: 3, 3: 2, 4: 1}",1
376,False,"{'a': 0.5991999999999914, 'e': 0.56978282473092301}",20,0,-7.481135005561885,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
377,False,"{'a': 0.5983999999999914, 'e': 0.56892879117912176}",20,6,-41.59102072650744,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
378,False,"{'a': 0.5975999999999914, 'e': 0.56807603771734072}",30,0,-284.2314703926223,"{0: 13, 1: 2, 2: 9, 3: 2, 4: 4}",0
379,False,"{'a': 0.5967999999999913, 'e': 0.56722456242688413}",25,17,1.735794132917758,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
380,False,"{'a': 0.5959999999999913, 'e': 0.56637436339193237}",25,0,7.64100847720425,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
381,False,"{'a': 0.5951999999999913, 'e': 0.56552543869953709}",20,8,-60.948423028199045,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
382,False,"{'a': 0.5943999999999913, 'e': 0.56467778643961752}",30,0,-39.85815256083756,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
383,False,"{'a': 0.5935999999999912, 'e': 0.56383140470495563}",20,1,-54.886344766142756,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
384,False,"{'a': 0.5927999999999912, 'e': 0.56298629159119229}",20,0,-27.24077549822839,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
385,False,"{'a': 0.5919999999999912, 'e': 0.56214244519682244}",20,8,-60.2560475507948,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
386,False,"{'a': 0.5911999999999912, 'e': 0.56129986362319151}",20,7,-15.205186185345115,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
387,False,"{'a': 0.5903999999999912, 'e': 0.56045854497449044}",35,12,-92.50156628622487,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 2}",1
388,False,"{'a': 0.5895999999999911, 'e': 0.5596184873577521}",20,11,-24.826359298543384,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
389,False,"{'a': 0.5887999999999911, 'e': 0.55877968888284635}",20,0,-53.810770174469305,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
390,False,"{'a': 0.5879999999999911, 'e': 0.5579421476624763}",25,0,-21.13972412403102,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
391,False,"{'a': 0.5871999999999911, 'e': 0.55710586181217392}",30,0,-119.19514306251214,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
392,False,"{'a': 0.586399999999991, 'e': 0.5562708294502956}",25,0,-42.489758441223636,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
393,False,"{'a': 0.585599999999991, 'e': 0.55543704869801824}",25,18,1.284615414429129,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
394,False,"{'a': 0.584799999999991, 'e': 0.55460451767933483}",20,0,18.980170729698813,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
395,False,"{'a': 0.583999999999991, 'e': 0.5537732345210501}",20,13,-34.236358322317024,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
396,False,"{'a': 0.583199999999991, 'e': 0.55294319735277675}",20,0,5.100067802533428,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
397,False,"{'a': 0.5823999999999909, 'e': 0.5521144043069306}",20,4,-10.263102033631355,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
398,False,"{'a': 0.5815999999999909, 'e': 0.55128685351872708}",20,0,-19.343002111643923,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
399,False,"{'a': 0.5807999999999909, 'e': 0.55046054312617665}",25,15,5.306351468948811,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5799999999999909, 'e': 0.54963547127008039}",30,0,-127.26844279851622,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
401,False,"{'a': 0.5791999999999908, 'e': 0.5488116360940265}",30,10,-92.55408539485582,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
402,False,"{'a': 0.5783999999999908, 'e': 0.54798903574438518}",20,12,-10.578095746817672,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
403,False,"{'a': 0.5775999999999908, 'e': 0.54716766837030562}",20,7,-57.362204239190845,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
404,False,"{'a': 0.5767999999999908, 'e': 0.54634753212371057}",25,9,-92.70529727799148,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 1}",1
405,False,"{'a': 0.5759999999999907, 'e': 0.54552862515929335}",20,1,-17.16775331996519,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
406,False,"{'a': 0.5751999999999907, 'e': 0.54471094563451294}",25,0,-18.862123399905272,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
407,False,"{'a': 0.5743999999999907, 'e': 0.54389449170958992}",20,2,-62.42205615813562,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
408,False,"{'a': 0.5735999999999907, 'e': 0.54307926154750275}",25,15,15.091422867100842,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.5727999999999906, 'e': 0.54226525331398323}",20,0,-60.43501001885443,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
410,False,"{'a': 0.5719999999999906, 'e': 0.54145246517751233}",30,7,-56.435542878353495,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
411,False,"{'a': 0.5711999999999906, 'e': 0.54064089530931658}",35,4,-61.632972565468265,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 1}",1
412,False,"{'a': 0.5703999999999906, 'e': 0.53983054188336332}",25,13,-38.974530448081794,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
413,False,"{'a': 0.5695999999999906, 'e': 0.53902140307635704}",25,0,-53.29318981917448,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
414,False,"{'a': 0.5687999999999905, 'e': 0.53821347706773515}",25,9,-60.211146150757706,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 0}",1
415,False,"{'a': 0.5679999999999905, 'e': 0.53740676203966364}",20,0,-79.79544799643011,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
416,False,"{'a': 0.5671999999999905, 'e': 0.53660125617703347}",25,17,10.264805330085778,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.5663999999999905, 'e': 0.53579695766745605}",25,0,9.278497391688191,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
418,False,"{'a': 0.5655999999999904, 'e': 0.53499386470125943}",25,14,4.542671989372984,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
419,False,"{'a': 0.5647999999999904, 'e': 0.53419197547148412}",20,2,-86.5710767843936,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
420,False,"{'a': 0.5639999999999904, 'e': 0.53339128817387893}",35,0,-97.88424457326153,"{0: 23, 1: 4, 2: 7, 3: 0, 4: 1}",0
421,False,"{'a': 0.5631999999999904, 'e': 0.53259180100689718}",20,0,-105.72024563791462,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
422,False,"{'a': 0.5623999999999904, 'e': 0.53179351217169235}",30,0,-91.98414937279763,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
423,False,"{'a': 0.5615999999999903, 'e': 0.53099641987211432}",20,1,-39.53891171394248,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
424,False,"{'a': 0.5607999999999903, 'e': 0.53020052231470505}",30,0,-40.399380579731684,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
425,False,"{'a': 0.5599999999999903, 'e': 0.52940581770869455}",25,0,-5.646274800899222,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
426,False,"{'a': 0.5591999999999903, 'e': 0.52861230426599726}",30,12,-114.67862171685167,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
427,False,"{'a': 0.5583999999999902, 'e': 0.52781998020120768}",20,0,-22.496454487223343,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
428,False,"{'a': 0.5575999999999902, 'e': 0.5270288437315962}",35,0,-127.0858805355148,"{0: 24, 1: 1, 2: 7, 3: 2, 4: 1}",0
429,False,"{'a': 0.5567999999999902, 'e': 0.52623889307710536}",35,12,-63.10942748947832,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 0}",1
430,False,"{'a': 0.5559999999999902, 'e': 0.52545012646034606}",35,0,22.822585258164604,"{0: 32, 1: 1, 2: 2, 3: 0, 4: 0}",0
431,False,"{'a': 0.5551999999999901, 'e': 0.52466254210659291}",25,7,-47.543623801152364,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
432,False,"{'a': 0.5543999999999901, 'e': 0.52387613824378088}",25,12,18.515965909714975,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.5535999999999901, 'e': 0.52309091310250078}",25,7,-35.82538485625025,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
434,False,"{'a': 0.5527999999999901, 'e': 0.52230686491599598}",25,0,-43.16498279591399,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
435,False,"{'a': 0.55199999999999, 'e': 0.52152399192015753}",20,7,-105.04547786530352,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 3}",1
436,False,"{'a': 0.55119999999999, 'e': 0.52074229235352099}",25,5,-52.71786725053187,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
437,False,"{'a': 0.55039999999999, 'e': 0.51996176445726183}",25,0,-77.83935067865477,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
438,False,"{'a': 0.54959999999999, 'e': 0.51918240647519209}",25,5,-56.148025426086456,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
439,False,"{'a': 0.54879999999999, 'e': 0.51840421665375602}",25,4,-9.595331784539844,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 0}",1
440,False,"{'a': 0.5479999999999899, 'e': 0.51762719324202611}",20,0,14.823980758351242,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
441,False,"{'a': 0.5471999999999899, 'e': 0.51685133449169929}",20,9,-18.479337067352702,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
442,False,"{'a': 0.5463999999999899, 'e': 0.51607663865709319}",20,3,4.229145016653266,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
443,False,"{'a': 0.5455999999999899, 'e': 0.51530310399514168}",30,0,-21.314776525081516,"{0: 24, 1: 4, 2: 1, 3: 1, 4: 0}",0
444,False,"{'a': 0.5447999999999898, 'e': 0.51453072876539163}",25,13,-8.056962371514652,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
445,False,"{'a': 0.5439999999999898, 'e': 0.51375951122999841}",20,0,-34.12871013485046,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
446,False,"{'a': 0.5431999999999898, 'e': 0.51298944965372217}",25,5,-3.273087723593017,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
447,False,"{'a': 0.5423999999999898, 'e': 0.512220542303924}",20,0,-12.570803650762285,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
448,False,"{'a': 0.5415999999999898, 'e': 0.51145278745056222}",20,8,-44.13741291412255,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
449,False,"{'a': 0.5407999999999897, 'e': 0.51068618336618787}",20,0,-169.31180605742574,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
450,False,"{'a': 0.5399999999999897, 'e': 0.5099207283259416}",20,10,-1.2165360156402714,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
451,False,"{'a': 0.5391999999999897, 'e': 0.50915642060754918}",25,10,-119.07274515104473,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 3}",1
452,False,"{'a': 0.5383999999999897, 'e': 0.50839325849131789}",25,0,-0.9603466399809033,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
453,False,"{'a': 0.5375999999999896, 'e': 0.50763124026013273}",20,0,-17.937347136182762,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
