trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.7783999999999965, 'e': 0.79731934231298707}",30,0,-30.038518596979472,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
153,False,"{'a': 0.7775999999999965, 'e': 0.79612425983545376}",25,0,-64.20917518715991,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
154,False,"{'a': 0.7767999999999965, 'e': 0.79493096863784085}",30,0,-83.13542811821212,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
155,False,"{'a': 0.7759999999999965, 'e': 0.79373946603524281}",25,0,-129.68710126307573,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
156,False,"{'a': 0.7751999999999964, 'e': 0.79254974934677813}",20,0,-46.13399936066551,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
157,False,"{'a': 0.7743999999999964, 'e': 0.79136181589558385}",25,0,-81.87369688461743,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
158,False,"{'a': 0.7735999999999964, 'e': 0.79017566300880926}",30,0,-104.67770165720178,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 2}",0
159,False,"{'a': 0.7727999999999964, 'e': 0.78899128801760965}",30,0,-94.70934051527664,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
160,False,"{'a': 0.7719999999999964, 'e': 0.78780868825714112}",20,3,-45.103174241853395,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
161,False,"{'a': 0.7711999999999963, 'e': 0.78662786106655347}",25,0,-82.56722159113923,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
162,False,"{'a': 0.7703999999999963, 'e': 0.78544880378898496}",30,0,-99.58397713363169,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
163,False,"{'a': 0.7695999999999963, 'e': 0.78427151377155646}",30,0,-150.88370402525322,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
164,False,"{'a': 0.7687999999999963, 'e': 0.78309598836536476}",20,6,-63.693300257644665,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
165,False,"{'a': 0.7679999999999962, 'e': 0.78192222492547725}",20,7,-32.64970520625964,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
166,False,"{'a': 0.7671999999999962, 'e': 0.78075022081092571}",20,0,-56.76145979258243,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
167,False,"{'a': 0.7663999999999962, 'e': 0.77957997338470042}",25,0,-181.68412099004092,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
168,False,"{'a': 0.7655999999999962, 'e': 0.77841148001374405}",25,0,-52.19443009936813,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
169,False,"{'a': 0.7647999999999961, 'e': 0.77724473806894612}",20,8,-75.23250659136684,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
